name,definition
varmbrakumi,benga per ka jenai samui:
eleaistio,(eleaistio ishke kara; eleaistio kirkas kara):
skalvi,lumi/upaš ka har iššilik ele au fuva pol
narúpaš,(narúga + upaš) – upaš ka nai deki kešténa
dzebing,per mah (ištšì os ištšìlik ting) bli samúi-iśi
žot,(ende hav einn imi: hono žot ting) – samúi-iśi 🧊 bli ištšì grunn vapa
dzebingárga,(dzebing + arga) – koske einn tel fu metoba (mangeslutšalik godža) dzebing au mange arga
upašvatsytbol,(upaš + vatsyt + bol) plas doko du bolvatsyt ⛸️
barid,suruko، tingko Ting ka slucha koske du mange samui، koske du höör mange braa muzik، koske du har kokoro ka ting es warui، os deki slucha për mange andër ting awen.
patjunfrigmange,patjun ka est mange samui ima
unnanil,lestestesamui ka dekiliik، vapasamui de ka sjtofnen au pie jamete razkiva. (vapasamui 0 cjelvin)
upashbrútingo, en kokoro; mjetta tsui lapsitid mit fami، tid ka ende nai; koske samui luft tulla au du huske gammel huomi، au kokoro je tuo: tak upash ljeta kao made fudu; du nai deki se nil; du se tsatain al; du mus jalaka:
upashlule,chiisai tel fu upash mit eksiik fal. al upashlule chigau mit sebyatropos
nahttacu,tacu kolanai na hel naht per ergo os tjucju jokutin fu sebja
maglo,na tinko – glossa ka maxjena per djin، na suruko – per maxa glossa
hobientso,suruko، suru na ŝirutropos mono grunn pashuun dua suru asoko ŝirutropos، men deki bruknai sore inne vona fu asoko pashuun
alhar:tingko/liikko,fal fu jevaltropos/jevaltvjeri. Marxdjin mahasintua na alhar
fikpušói,suruko – per vent per mah einn ting grunn afto nai mange bra/mahglau/ninténdo
namting duaajsho,t-ko، ajsho harjena koske pash gotov namting per mik، dare dua gotov fsore; koske he brahanu namting dan ke on maha، on ajsho namting duaajsho dan.
koladaag,daag per du، nai mono per kola. per suru ting du dua, au per bli os tatsu glau. ((auen nai mus hel daag, men deki jokitiid))
skjoi kekso,bli hjernebaka os hjernebjuki (na pravda os na se)
skjekso,bli hjernebaka os hjernebjuki (na pravda os na se)
advent,(pasj ka dua os vil) vona ine stur polis، skjoi melan obastur hwomi، se stur klani na polisnaruga، skjine tak klani، hor ogoe zam، au au au au au. na andr hanutropos: pasj ka lera obadua ‘tjiknu’ fu polis
